,Date,Open
0,2020-05-06,9007.441406
1,2020-05-07,9261.895508
2,2020-05-08,9936.162109
3,2020-05-09,9840.90625
4,2020-05-10,9591.168945
5,2020-05-11,8755.535156
6,2020-05-12,8610.385742
7,2020-05-13,8805.387695
8,2020-05-14,9271.329102
9,2020-05-15,9734.291016
10,2020-05-16,9333.240234
11,2020-05-17,9374.929688
12,2020-05-18,9675.695313
13,2020-05-19,9727.063477
14,2020-05-20,9725.329102
15,2020-05-21,9522.740234
16,2020-05-22,9080.334961
17,2020-05-23,9185.0625
18,2020-05-24,9212.283203
19,2020-05-25,8786.107422
20,2020-05-26,8909.585938
21,2020-05-27,8837.380859
22,2020-05-28,9184.945313
23,2020-05-29,9528.355469
24,2020-05-30,9438.914063
25,2020-05-31,9700.105469
26,2020-06-01,9463.605469
27,2020-06-02,10162.973633
28,2020-06-03,9533.760742
29,2020-06-04,9655.854492
30,2020-06-05,9800.21582
31,2020-06-06,9664.904297
32,2020-06-07,9653.00293
33,2020-06-08,9760.063477
34,2020-06-09,9774.360352
35,2020-06-10,9794.119141
36,2020-06-11,9870.078125
37,2020-06-12,9320.69043
38,2020-06-13,9480.735352
39,2020-06-14,9477.553711
40,2020-06-15,9386.035156
41,2020-06-16,9454.266602
42,2020-06-17,9533.78418
43,2020-06-18,9481.567383
44,2020-06-19,9410.293945
45,2020-06-20,9290.959961
46,2020-06-21,9330.926758
47,2020-06-22,9300.915039
48,2020-06-23,9644.076172
49,2020-06-24,9632.149414
50,2020-06-25,9314.126953
51,2020-06-26,9260.995117
52,2020-06-27,9167.824219
53,2020-06-28,9048.460938
54,2020-06-29,9140.029297
55,2020-06-30,9185.581055
56,2020-07-01,9145.985352
57,2020-07-02,9231.139648
58,2020-07-03,9124.842773
59,2020-07-04,9084.233398
60,2020-07-05,9126.09082
61,2020-07-06,9072.849609
62,2020-07-07,9349.161133
63,2020-07-08,9253.020508
64,2020-07-09,9427.994141
65,2020-07-10,9273.357422
66,2020-07-11,9277.511719
67,2020-07-12,9241.054688
68,2020-07-13,9277.205078
