,date,open
0,2015-08-07,3.0
1,2015-08-08,1.2
2,2015-08-09,1.2
3,2015-08-10,1.2
4,2015-08-11,0.99
5,2015-08-12,1.29
6,2015-08-13,1.88
7,2015-08-14,1.79
8,2015-08-15,1.79
9,2015-08-16,1.37
10,2015-08-17,1.3
11,2015-08-18,1.36
12,2015-08-19,1.24
13,2015-08-20,1.52
14,2015-08-21,1.44
15,2015-08-22,1.4
16,2015-08-23,1.35
17,2015-08-24,1.24
18,2015-08-25,1.27
19,2015-08-26,1.18
20,2015-08-27,1.14
21,2015-08-28,1.3
22,2015-08-29,1.18
23,2015-08-30,1.32
24,2015-08-31,1.31
25,2015-09-01,1.36
26,2015-09-02,1.14
27,2015-09-03,1.23
28,2015-09-04,1.35
29,2015-09-05,1.37
30,2015-09-06,1.34
31,2015-09-07,1.28
32,2015-09-08,1.26
33,2015-09-09,1.21
34,2015-09-10,1.19
35,2015-09-11,0.9242
36,2015-09-12,1.15
37,2015-09-13,0.8856
38,2015-09-14,0.955
39,2015-09-15,0.95
40,2015-09-16,0.9363
41,2015-09-17,0.875
42,2015-09-18,0.8523
43,2015-09-19,0.89
44,2015-09-20,0.8871
45,2015-09-21,0.9412
46,2015-09-22,0.8059
47,2015-09-23,0.91
48,2015-09-24,0.8
49,2015-09-25,0.6823
50,2015-09-26,0.7703
51,2015-09-27,0.7008
52,2015-09-28,0.6
53,2015-09-29,0.6816
54,2015-09-30,0.7137
55,2015-10-01,0.6548
56,2015-10-02,0.6647
57,2015-10-03,0.6796
58,2015-10-04,0.6095
59,2015-10-05,0.6078
60,2015-10-06,0.6511
61,2015-10-07,0.6
62,2015-10-08,0.62
63,2015-10-09,0.6352
64,2015-10-10,0.6351
65,2015-10-11,0.5993
66,2015-10-12,0.63
67,2015-10-13,0.6017
68,2015-10-14,0.5
69,2015-10-15,0.56
70,2015-10-16,0.525
71,2015-10-17,0.523
72,2015-10-18,0.505
73,2015-10-19,0.5
74,2015-10-20,0.44
75,2015-10-21,0.42
76,2015-10-22,0.609
77,2015-10-23,0.5649
78,2015-10-24,0.5561
79,2015-10-25,0.62
80,2015-10-26,0.706
81,2015-10-27,0.83
82,2015-10-28,0.99
83,2015-10-29,1.12
84,2015-10-30,1.14
85,2015-10-31,0.8676
86,2015-11-01,0.99
87,2015-11-02,0.9878
88,2015-11-03,1.06
89,2015-11-04,0.799
90,2015-11-05,0.8764
91,2015-11-06,0.9899
92,2015-11-07,0.93
93,2015-11-08,1.0
94,2015-11-09,0.998
95,2015-11-10,0.9
96,2015-11-11,0.75
97,2015-11-12,0.88
98,2015-11-13,0.9
99,2015-11-14,0.88
100,2015-11-15,0.9193
101,2015-11-16,0.925
102,2015-11-17,1.0
103,2015-11-18,0.9973
104,2015-11-19,0.94
105,2015-11-20,0.92
106,2015-11-21,0.96
107,2015-11-22,0.97
108,2015-11-23,0.92
109,2015-11-24,0.91
110,2015-11-25,0.87
111,2015-11-26,0.86
112,2015-11-27,0.88
113,2015-11-28,0.91
114,2015-11-29,0.87
115,2015-11-30,0.88
116,2015-12-01,0.87
117,2015-12-02,0.82
118,2015-12-03,0.83
119,2015-12-04,0.84
120,2015-12-05,0.8699
121,2015-12-06,0.825
122,2015-12-07,0.79
123,2015-12-08,0.8102
124,2015-12-09,0.8051
125,2015-12-10,0.8437
126,2015-12-11,0.8998
127,2015-12-12,0.96
128,2015-12-13,0.9199
129,2015-12-14,0.99
130,2015-12-15,1.0
131,2015-12-16,0.8029999999999999
132,2015-12-17,0.94
133,2015-12-18,0.9
134,2015-12-19,0.8935
135,2015-12-20,1.07
136,2015-12-21,0.91
137,2015-12-22,0.88
138,2015-12-23,0.8709
139,2015-12-24,0.87
140,2015-12-25,0.88
141,2015-12-26,0.853
142,2015-12-27,0.9179999999999999
143,2015-12-28,0.8749
144,2015-12-29,0.86
145,2015-12-30,0.8925
146,2015-12-31,0.9488
147,2016-01-01,0.92
148,2016-01-02,0.9547
149,2016-01-03,0.96
150,2016-01-04,0.95
151,2016-01-05,0.9426
152,2016-01-06,0.95
