,date,open
0,2020-05-31,243.6794069050171
1,2020-06-01,231.11266750505845
2,2020-06-02,248.17687680454483
3,2020-06-03,237.47287431671936
4,2020-06-04,244.70107850538523
5,2020-06-05,243.25640227782057
6,2020-06-06,240.11051872861037
7,2020-06-07,241.92177750360875
8,2020-06-08,245.06952209691693
9,2020-06-09,247.6309748124342
10,2020-06-10,243.96562495757783
11,2020-06-11,248.2619402456569
12,2020-06-12,229.84233040732644
13,2020-06-13,237.61443431137695
14,2020-06-14,238.1876100400164
15,2020-06-15,231.25444673592597
16,2020-06-16,231.04516086659208
17,2020-06-17,235.33325012461083
18,2020-06-18,233.82001545380223
19,2020-06-19,231.23007424466803
20,2020-06-20,228.82165498744712
21,2020-06-21,228.83907311680585
22,2020-06-22,227.68601749490415
23,2020-06-23,243.65799326443135
24,2020-06-24,243.14916241596535
25,2020-06-25,234.55200820040645
26,2020-06-26,232.1381962078491
27,2020-06-27,229.66150092769672
28,2020-06-28,220.91855384330773
29,2020-06-29,225.07382717556573
30,2020-06-30,227.89510566401145
31,2020-07-01,225.56739156591692
32,2020-07-02,231.0601343378338
33,2020-07-03,226.3640697727604
34,2020-07-04,225.08227535490013
35,2020-07-05,229.2143507638751
36,2020-07-06,227.6867034735872
37,2020-07-07,241.45433368253865
38,2020-07-08,239.4364572189733
39,2020-07-09,246.8241707616565
40,2020-07-10,242.07600797847635
41,2020-07-11,241.4396519899163
42,2020-07-12,239.22116085628656
43,2020-07-13,243.12153396405105
44,2020-07-14,239.4026440821404
45,2020-07-15,240.45409891918104
46,2020-07-16,238.489709095294
47,2020-07-17,233.56426611798383
48,2020-07-18,232.74685523372068
49,2020-07-19,235.78487309063647
50,2020-07-20,239.52541105847425
51,2020-07-21,236.12987416469903
52,2020-07-22,245.7853547215629
53,2020-07-23,264.44854067226333
54,2020-07-24,275.5919819523011
55,2020-07-25,279.9369665545663
56,2020-07-26,305.1428032779652
57,2020-07-27,311.57593444666924
58,2020-07-28,321.9196459804918
59,2020-07-29,317.8459838552768
60,2020-07-30,317.6133069100716
61,2020-07-31,335.1631641549828
62,2020-08-01,346.69593498064387
63,2020-08-02,387.5861355786127
64,2020-08-03,372.1565697607069
65,2020-08-04,386.5581780180127
66,2020-08-05,389.98489422233393
67,2020-08-06,400.2589580289899
68,2020-08-07,394.89275870947336
69,2020-08-08,378.9581866770976
70,2020-08-09,398.42801895819366
71,2020-08-10,390.1907001427642
72,2020-08-11,395.8573172818122
73,2020-08-12,378.410359905832
74,2020-08-13,386.7691925148576
75,2020-08-14,424.9314842409231
76,2020-08-15,438.4101108398867
77,2020-08-16,432.3868812376768
78,2020-08-17,434.4979981297205
79,2020-08-18,431.01648784927056
80,2020-08-19,423.5443197265956
81,2020-08-20,408.7528170367367
82,2020-08-21,416.0380300516797
83,2020-08-22,388.0305432490874
84,2020-08-23,395.7084529530569
85,2020-08-24,390.7233242267425
86,2020-08-25,407.9197095648108
87,2020-08-26,382.5803583889931
88,2020-08-27,385.8227729539795
89,2020-08-28,383.1648422282244
90,2020-08-29,395.74599786364826
91,2020-08-30,398.5996053744562
92,2020-08-31,429.3572313773941
93,2020-09-01,433.9243575726045
94,2020-09-02,476.0677720462037
95,2020-09-03,439.4748593679907
96,2020-09-04,382.2509620231613
97,2020-09-05,386.06101202524223
98,2020-09-06,335.1121703960664
99,2020-09-07,352.7096368554909
100,2020-09-08,353.68642971612576
101,2020-09-09,336.7429806617783
102,2020-09-10,351.20680951213865
